speed,indo_time,arrival,pred_label
23222,2024-08-08 20:48:32+07:00,0,0
23271,2024-08-08 20:48:33+07:00,0,0
23273,2024-08-08 20:48:34+07:00,0,0
23263,2024-08-08 20:48:35+07:00,0,0
23346,2024-08-08 20:48:36+07:00,0,0
23237,2024-08-08 20:48:37+07:00,0,0
23256,2024-08-08 20:48:38+07:00,0,0
23317,2024-08-08 20:48:39+07:00,0,0
23309,2024-08-08 20:48:40+07:00,0,0
23327,2024-08-08 20:48:41+07:00,0,0
23261,2024-08-08 20:48:42+07:00,0,0
23216,2024-08-08 20:48:43+07:00,0,0
23252,2024-08-08 20:48:44+07:00,0,0
23295,2024-08-08 20:48:45+07:00,0,0
23237,2024-08-08 20:48:46+07:00,0,0
23330,2024-08-08 20:48:47+07:00,0,0
23242,2024-08-08 20:48:48+07:00,0,0
23232,2024-08-08 20:48:49+07:00,0,0
23318,2024-08-08 20:48:50+07:00,0,0
23310,2024-08-08 20:48:51+07:00,0,0
23312,2024-08-08 20:48:52+07:00,0,0
23360,2024-08-08 20:48:53+07:00,0,0
23226,2024-08-08 20:48:54+07:00,0,0
23255,2024-08-08 20:48:55+07:00,0,0
23245,2024-08-08 20:48:56+07:00,0,0
23193,2024-08-08 20:48:57+07:00,0,0
23382,2024-08-08 20:48:58+07:00,0,0
23262,2024-08-08 20:48:59+07:00,0,0
23190,2024-08-08 20:49:00+07:00,0,0
23305,2024-08-08 20:49:01+07:00,0,0
23285,2024-08-08 20:49:02+07:00,0,0
23335,2024-08-08 20:49:03+07:00,0,0
23354,2024-08-08 20:49:04+07:00,0,0
23276,2024-08-08 20:49:05+07:00,0,0
23241,2024-08-08 20:49:06+07:00,0,0
23290,2024-08-08 20:49:07+07:00,0,0
23241,2024-08-08 20:49:08+07:00,0,0
23304,2024-08-08 20:49:09+07:00,0,0
23260,2024-08-08 20:49:10+07:00,0,0
23254,2024-08-08 20:49:11+07:00,0,0
23277,2024-08-08 20:49:12+07:00,0,0
23274,2024-08-08 20:49:13+07:00,0,0
23289,2024-08-08 20:49:14+07:00,0,0
23313,2024-08-08 20:49:15+07:00,0,0
23225,2024-08-08 20:49:16+07:00,0,0
23293,2024-08-08 20:49:17+07:00,0,0
23281,2024-08-08 20:49:18+07:00,0,0
23237,2024-08-08 20:49:19+07:00,0,0
23342,2024-08-08 20:49:20+07:00,0,0
23248,2024-08-08 20:49:21+07:00,0,0
23260,2024-08-08 20:49:22+07:00,0,0
23288,2024-08-08 20:49:23+07:00,0,0
23308,2024-08-08 20:49:24+07:00,0,0
23272,2024-08-08 20:49:25+07:00,0,0
23296,2024-08-08 20:49:26+07:00,0,0
23223,2024-08-08 20:49:27+07:00,0,0
23253,2024-08-08 20:49:28+07:00,0,0
23287,2024-08-08 20:49:29+07:00,0,0
23245,2024-08-08 20:49:30+07:00,0,0
23257,2024-08-08 20:49:31+07:00,0,0
23274,2024-08-08 20:49:32+07:00,0,0
23276,2024-08-08 20:49:33+07:00,0,0
23233,2024-08-08 20:49:34+07:00,0,0
23334,2024-08-08 20:49:35+07:00,0,0
23254,2024-08-08 20:49:36+07:00,0,0
23370,2024-08-08 20:49:37+07:00,0,0
23270,2024-08-08 20:49:38+07:00,0,0
23260,2024-08-08 20:49:39+07:00,0,0
23305,2024-08-08 20:49:40+07:00,0,0
23226,2024-08-08 20:49:41+07:00,0,0
23266,2024-08-08 20:49:42+07:00,0,0
23285,2024-08-08 20:49:43+07:00,0,0
23177,2024-08-08 20:49:44+07:00,0,0
23280,2024-08-08 20:49:45+07:00,0,0
23269,2024-08-08 20:49:46+07:00,0,0
23241,2024-08-08 20:49:47+07:00,0,0
23330,2024-08-08 20:49:48+07:00,0,0
23269,2024-08-08 20:49:49+07:00,0,0
23294,2024-08-08 20:49:50+07:00,0,0
23300,2024-08-08 20:49:51+07:00,0,0
23289,2024-08-08 20:49:52+07:00,0,0
23328,2024-08-08 20:49:53+07:00,0,0
23294,2024-08-08 20:49:54+07:00,0,0
23184,2024-08-08 20:49:55+07:00,0,0
23198,2024-08-08 20:49:56+07:00,0,0
23262,2024-08-08 20:49:57+07:00,0,0
23255,2024-08-08 20:49:58+07:00,0,0
23317,2024-08-08 20:49:59+07:00,0,0
23284,2024-08-08 20:50:00+07:00,0,0
23280,2024-08-08 20:50:01+07:00,0,0
23343,2024-08-08 20:50:02+07:00,0,0
23309,2024-08-08 20:50:03+07:00,0,0
23311,2024-08-08 20:50:04+07:00,0,0
23310,2024-08-08 20:50:05+07:00,0,0
23190,2024-08-08 20:50:06+07:00,0,0
23272,2024-08-08 20:50:07+07:00,0,0
23292,2024-08-08 20:50:08+07:00,0,0
23262,2024-08-08 20:50:09+07:00,0,0
23296,2024-08-08 20:50:10+07:00,0,0
23277,2024-08-08 20:50:11+07:00,0,0
23180,2024-08-08 20:50:12+07:00,0,0
23308,2024-08-08 20:50:13+07:00,0,0
23316,2024-08-08 20:50:14+07:00,0,0
23341,2024-08-08 20:50:15+07:00,0,0
23340,2024-08-08 20:50:16+07:00,0,0
23207,2024-08-08 20:50:17+07:00,0,0
23277,2024-08-08 20:50:18+07:00,0,0
23293,2024-08-08 20:50:19+07:00,0,0
23279,2024-08-08 20:50:20+07:00,0,0
23364,2024-08-08 20:50:21+07:00,0,0
23301,2024-08-08 20:50:22+07:00,0,0
23200,2024-08-08 20:50:23+07:00,0,0
23305,2024-08-08 20:50:24+07:00,0,0
23287,2024-08-08 20:50:25+07:00,0,0
23273,2024-08-08 20:50:26+07:00,0,0
23298,2024-08-08 20:50:27+07:00,0,0
23264,2024-08-08 20:50:28+07:00,0,0
23177,2024-08-08 20:50:29+07:00,0,0
23305,2024-08-08 20:50:30+07:00,0,0
23193,2024-08-08 20:50:31+07:00,0,0
23360,2024-08-08 20:50:32+07:00,0,0
23279,2024-08-08 20:50:33+07:00,0,0
23258,2024-08-08 20:50:34+07:00,0,0
23280,2024-08-08 20:50:35+07:00,0,0
23293,2024-08-08 20:50:36+07:00,0,0
23300,2024-08-08 20:50:37+07:00,0,0
23358,2024-08-08 20:50:38+07:00,0,0
23284,2024-08-08 20:50:39+07:00,0,0
23244,2024-08-08 20:50:40+07:00,0,0
23248,2024-08-08 20:50:41+07:00,0,0
23248,2024-08-08 20:50:42+07:00,0,0
23272,2024-08-08 20:50:43+07:00,0,0
23245,2024-08-08 20:50:44+07:00,0,0
23257,2024-08-08 20:50:45+07:00,0,0
23286,2024-08-08 20:50:46+07:00,0,0
23297,2024-08-08 20:50:47+07:00,0,0
23311,2024-08-08 20:50:48+07:00,0,0
23342,2024-08-08 20:50:49+07:00,0,0
23304,2024-08-08 20:50:50+07:00,0,0
23231,2024-08-08 20:50:51+07:00,0,0
23313,2024-08-08 20:50:52+07:00,0,0
23265,2024-08-08 20:50:53+07:00,0,0
23262,2024-08-08 20:50:54+07:00,0,0
23244,2024-08-08 20:50:55+07:00,0,0
23185,2024-08-08 20:50:56+07:00,0,0
23225,2024-08-08 20:50:57+07:00,0,0
23286,2024-08-08 20:50:58+07:00,0,0
23263,2024-08-08 20:50:59+07:00,0,0
23340,2024-08-08 20:51:00+07:00,0,0
23303,2024-08-08 20:51:01+07:00,0,0
23293,2024-08-08 20:51:02+07:00,0,0
23303,2024-08-08 20:51:03+07:00,0,0
23302,2024-08-08 20:51:04+07:00,0,0
23293,2024-08-08 20:51:05+07:00,0,0
23293,2024-08-08 20:51:06+07:00,0,0
23269,2024-08-08 20:51:07+07:00,0,0
23230,2024-08-08 20:51:08+07:00,0,0
23262,2024-08-08 20:51:09+07:00,0,0
23265,2024-08-08 20:51:10+07:00,0,0
23325,2024-08-08 20:51:11+07:00,0,0
23280,2024-08-08 20:51:12+07:00,0,0
23230,2024-08-08 20:51:13+07:00,0,0
23333,2024-08-08 20:51:14+07:00,0,0
23236,2024-08-08 20:51:15+07:00,0,0
23337,2024-08-08 20:51:16+07:00,0,0
23286,2024-08-08 20:51:17+07:00,0,0
23204,2024-08-08 20:51:18+07:00,0,0
23266,2024-08-08 20:51:19+07:00,0,0
23300,2024-08-08 20:51:20+07:00,0,0
23321,2024-08-08 20:51:21+07:00,0,0
23302,2024-08-08 20:51:22+07:00,0,0
23247,2024-08-08 20:51:23+07:00,0,0
23268,2024-08-08 20:51:24+07:00,0,0
23252,2024-08-08 20:51:25+07:00,0,0
23294,2024-08-08 20:51:26+07:00,0,0
23303,2024-08-08 20:51:27+07:00,0,0
23272,2024-08-08 20:51:28+07:00,0,0
23228,2024-08-08 20:51:29+07:00,0,0
23264,2024-08-08 20:51:30+07:00,0,0
23250,2024-08-08 20:51:31+07:00,0,0
23278,2024-08-08 20:51:32+07:00,0,0
23348,2024-08-08 20:51:33+07:00,0,0
23269,2024-08-08 20:51:34+07:00,0,0
23312,2024-08-08 20:51:35+07:00,0,0
23298,2024-08-08 20:51:36+07:00,0,0
23286,2024-08-08 20:51:37+07:00,0,0
23368,2024-08-08 20:51:38+07:00,0,0
23229,2024-08-08 20:51:39+07:00,0,0
23253,2024-08-08 20:51:40+07:00,0,0
23228,2024-08-08 20:51:41+07:00,0,0
23271,2024-08-08 20:51:42+07:00,0,0
23236,2024-08-08 20:51:43+07:00,0,0
23297,2024-08-08 20:51:44+07:00,0,0
23276,2024-08-08 20:51:45+07:00,0,0
23265,2024-08-08 20:51:46+07:00,0,0
23274,2024-08-08 20:51:47+07:00,0,0
23297,2024-08-08 20:51:48+07:00,0,0
23393,2024-08-08 20:51:49+07:00,0,0
23302,2024-08-08 20:51:50+07:00,0,0
23248,2024-08-08 20:51:51+07:00,0,0
23199,2024-08-08 20:51:52+07:00,0,0
23280,2024-08-08 20:51:53+07:00,0,0
23197,2024-08-08 20:51:54+07:00,0,0
23317,2024-08-08 20:51:55+07:00,0,0
23237,2024-08-08 20:51:56+07:00,0,0
23225,2024-08-08 20:51:57+07:00,0,0
23261,2024-08-08 20:51:58+07:00,0,0
23313,2024-08-08 20:51:59+07:00,0,0
23351,2024-08-08 20:52:00+07:00,0,0
23301,2024-08-08 20:52:01+07:00,0,0
23296,2024-08-08 20:52:02+07:00,0,0
23248,2024-08-08 20:52:03+07:00,0,0
23257,2024-08-08 20:52:04+07:00,0,0
23268,2024-08-08 20:52:05+07:00,0,0
23310,2024-08-08 20:52:06+07:00,0,0
23245,2024-08-08 20:52:07+07:00,0,0
23244,2024-08-08 20:52:08+07:00,0,0
23273,2024-08-08 20:52:09+07:00,0,0
23253,2024-08-08 20:52:10+07:00,0,0
23333,2024-08-08 20:52:11+07:00,0,0
23249,2024-08-08 20:52:12+07:00,0,0
23341,2024-08-08 20:52:13+07:00,0,0
23296,2024-08-08 20:52:14+07:00,0,0
23249,2024-08-08 20:52:15+07:00,0,0
23263,2024-08-08 20:52:16+07:00,0,0
23311,2024-08-08 20:52:17+07:00,0,0
23260,2024-08-08 20:52:18+07:00,0,0
23255,2024-08-08 20:52:19+07:00,0,0
23285,2024-08-08 20:52:20+07:00,0,0
23302,2024-08-08 20:52:21+07:00,0,0
23310,2024-08-08 20:52:22+07:00,0,0
23258,2024-08-08 20:52:23+07:00,0,0
23253,2024-08-08 20:52:24+07:00,0,0
23230,2024-08-08 20:52:25+07:00,0,0
23248,2024-08-08 20:52:26+07:00,0,0
23242,2024-08-08 20:52:27+07:00,0,0
23320,2024-08-08 20:52:28+07:00,0,0
23220,2024-08-08 20:52:29+07:00,0,0
23292,2024-08-08 20:52:30+07:00,0,0
23289,2024-08-08 20:52:31+07:00,0,0
23278,2024-08-08 20:52:32+07:00,0,0
23351,2024-08-08 20:52:33+07:00,0,0
23332,2024-08-08 20:52:34+07:00,0,0
23310,2024-08-08 20:52:35+07:00,0,0
23245,2024-08-08 20:52:36+07:00,0,0
23273,2024-08-08 20:52:37+07:00,0,0
23221,2024-08-08 20:52:38+07:00,0,0
23286,2024-08-08 20:52:39+07:00,0,0
23239,2024-08-08 20:52:40+07:00,0,0
23255,2024-08-08 20:52:41+07:00,0,0
23230,2024-08-08 20:52:42+07:00,0,0
23240,2024-08-08 20:52:43+07:00,0,0
23316,2024-08-08 20:52:44+07:00,0,0
23297,2024-08-08 20:52:45+07:00,0,0
23277,2024-08-08 20:52:46+07:00,0,0
23329,2024-08-08 20:52:47+07:00,0,0
23324,2024-08-08 20:52:48+07:00,0,0
23294,2024-08-08 20:52:49+07:00,0,0
23365,2024-08-08 20:52:50+07:00,0,0
23246,2024-08-08 20:52:51+07:00,0,0
23215,2024-08-08 20:52:52+07:00,0,0
23217,2024-08-08 20:52:53+07:00,0,0
23202,2024-08-08 20:52:54+07:00,0,0
23264,2024-08-08 20:52:55+07:00,0,0
23310,2024-08-08 20:52:56+07:00,0,0
23222,2024-08-08 20:52:57+07:00,0,0
23335,2024-08-08 20:52:58+07:00,0,0
23284,2024-08-08 20:52:59+07:00,0,0
23261,2024-08-08 20:53:00+07:00,0,0
23404,2024-08-08 20:53:01+07:00,0,0
23309,2024-08-08 20:53:02+07:00,0,0
23281,2024-08-08 20:53:03+07:00,0,0
23226,2024-08-08 20:53:04+07:00,0,0
23206,2024-08-08 20:53:05+07:00,0,0
23287,2024-08-08 20:53:06+07:00,0,0
23311,2024-08-08 20:53:07+07:00,0,0
23264,2024-08-08 20:53:08+07:00,0,0
23220,2024-08-08 20:53:09+07:00,0,0
23268,2024-08-08 20:53:10+07:00,0,0
23240,2024-08-08 20:53:11+07:00,0,0
23336,2024-08-08 20:53:12+07:00,0,0
23247,2024-08-08 20:53:13+07:00,0,0
23273,2024-08-08 20:53:14+07:00,0,0
23271,2024-08-08 20:53:15+07:00,0,0
23295,2024-08-08 20:53:16+07:00,0,0
23281,2024-08-08 20:53:17+07:00,0,0
23341,2024-08-08 20:53:18+07:00,0,0
23294,2024-08-08 20:53:19+07:00,0,0
23256,2024-08-08 20:53:20+07:00,0,0
23295,2024-08-08 20:53:21+07:00,0,0
23247,2024-08-08 20:53:22+07:00,0,0
23324,2024-08-08 20:53:23+07:00,0,0
23241,2024-08-08 20:53:24+07:00,0,0
23246,2024-08-08 20:53:25+07:00,0,0
23249,2024-08-08 20:53:26+07:00,0,0
23266,2024-08-08 20:53:27+07:00,0,0
23245,2024-08-08 20:53:28+07:00,0,0
23366,2024-08-08 20:53:29+07:00,0,0
23252,2024-08-08 20:53:30+07:00,0,0
23319,2024-08-08 20:53:31+07:00,0,0
23319,2024-08-08 20:53:32+07:00,0,0
23273,2024-08-08 20:53:33+07:00,0,0
23351,2024-08-08 20:53:34+07:00,0,0
23351,2024-08-08 20:53:35+07:00,0,0
23332,2024-08-08 20:53:36+07:00,0,0
23237,2024-08-08 20:53:37+07:00,0,0
23234,2024-08-08 20:53:38+07:00,0,0
23234,2024-08-08 20:53:39+07:00,0,0
23226,2024-08-08 20:53:40+07:00,0,0
23326,2024-08-08 20:53:41+07:00,0,0
23194,2024-08-08 20:53:42+07:00,0,0
23255,2024-08-08 20:53:43+07:00,0,0
23330,2024-08-08 20:53:44+07:00,0,0
23252,2024-08-08 20:53:45+07:00,0,0
23354,2024-08-08 20:53:46+07:00,0,0
23305,2024-08-08 20:53:47+07:00,0,0
23333,2024-08-08 20:53:48+07:00,0,0
23294,2024-08-08 20:53:49+07:00,0,0
23269,2024-08-08 20:53:50+07:00,0,0
23261,2024-08-08 20:53:51+07:00,0,0
23295,2024-08-08 20:53:52+07:00,0,0
23181,2024-08-08 20:53:53+07:00,0,0
23216,2024-08-08 20:53:54+07:00,0,0
23302,2024-08-08 20:53:55+07:00,0,0
23229,2024-08-08 20:53:56+07:00,0,0
23330,2024-08-08 20:53:57+07:00,0,0
23282,2024-08-08 20:53:58+07:00,0,0
23289,2024-08-08 20:53:59+07:00,0,0
23300,2024-08-08 20:54:00+07:00,0,0
23254,2024-08-08 20:54:01+07:00,0,0
23284,2024-08-08 20:54:02+07:00,0,0
23385,2024-08-08 20:54:03+07:00,0,0
23244,2024-08-08 20:54:04+07:00,0,0
23271,2024-08-08 20:54:05+07:00,0,0
23258,2024-08-08 20:54:06+07:00,0,0
23201,2024-08-08 20:54:07+07:00,0,0
23298,2024-08-08 20:54:08+07:00,0,0
23326,2024-08-08 20:54:09+07:00,0,0
23270,2024-08-08 20:54:10+07:00,0,0
23326,2024-08-08 20:54:11+07:00,0,0
23301,2024-08-08 20:54:12+07:00,0,0
23231,2024-08-08 20:54:13+07:00,0,0
23337,2024-08-08 20:54:14+07:00,0,0
23236,2024-08-08 20:54:15+07:00,0,0
23268,2024-08-08 20:54:16+07:00,0,0
23276,2024-08-08 20:54:17+07:00,0,0
23276,2024-08-08 20:54:18+07:00,0,0
23324,2024-08-08 20:54:19+07:00,0,0
23337,2024-08-08 20:54:20+07:00,0,0
23205,2024-08-08 20:54:21+07:00,0,0
23287,2024-08-08 20:54:22+07:00,0,0
23290,2024-08-08 20:54:23+07:00,0,0
23232,2024-08-08 20:54:24+07:00,0,0
23335,2024-08-08 20:54:25+07:00,0,0
23265,2024-08-08 20:54:26+07:00,0,0
23176,2024-08-08 20:54:27+07:00,0,0
23317,2024-08-08 20:54:28+07:00,0,0
23233,2024-08-08 20:54:29+07:00,0,0
23316,2024-08-08 20:54:30+07:00,0,0
23314,2024-08-08 20:54:31+07:00,0,0
23280,2024-08-08 20:54:32+07:00,0,0
23314,2024-08-08 20:54:33+07:00,0,0
23302,2024-08-08 20:54:34+07:00,0,0
23252,2024-08-08 20:54:35+07:00,0,0
23353,2024-08-08 20:54:36+07:00,0,0
23264,2024-08-08 20:54:37+07:00,0,0
23223,2024-08-08 20:54:38+07:00,0,0
23277,2024-08-08 20:54:39+07:00,0,0
23196,2024-08-08 20:54:40+07:00,0,0
23288,2024-08-08 20:54:41+07:00,0,0
23278,2024-08-08 20:54:42+07:00,0,0
